keyword,video_id,comment_id,author,author_channel_url,text,like_count,published_at,updated_at,extracted_at
pfizer,vj7fntANj8k,UgxWIhi6E9ydvKIW5XJ4AaABAg,@VodaLacusta-ix3bf,http://www.youtube.com/@VodaLacusta-ix3bf,TOTI  VIRUSI  PULVERIZATI  IN  PLANDEMII   SUNT  TRECUTI  IN DOCUMENTELE  NATO  SI LABORATOARELE  AMERICANE  CA  ARME  BIOLOGICE  !! DE  EXTERMINARE  IN  MASA A  POPULATIILOR  PASNICE  SI  NE  INARMATE ! 😂..SA  INCEAPA DISTRACTIA  PRROSTILOR,1,2026-05-12T16:05:01Z,2026-05-12T16:05:01Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgyzyPs3OCJRKkPcPRB4AaABAg,@dobrecristian5881,http://www.youtube.com/@dobrecristian5881,ala are 42 de cuvinte in vocabular dar aparent se pricepe la virusi.:)) iar incep astia cu tot felul de conspiratii.,2,2026-05-12T15:36:51Z,2026-05-12T15:36:51Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,Ugxc5zEKjGtv5jsmGx94AaABAg,@edicostelpopa1990,http://www.youtube.com/@edicostelpopa1990,Mamaaaaa 😔🥺😢😢iar sant Romanii destepti 🥺🥺🥺Santeti Tampiti!,1,2026-05-12T19:28:38Z,2026-05-12T19:28:38Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgzfoH2JdR0fAEBSVSJ4AaABAg,@auraungureanu-sm6xp,http://www.youtube.com/@auraungureanu-sm6xp,"Numai tampenii , dar stilul de viata ce il avem ce zici? 😂",2,2026-05-12T14:49:11Z,2026-05-12T14:49:11Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,Ugy0xl1KtgVxPhWTr4B4AaABAg,@ionelscutaru8687,http://www.youtube.com/@ionelscutaru8687,Ma gandesc ca toti comentacii conspirationisti n-au reusit sa trrmine o facultate de chimie/biologie!,1,2026-05-12T22:25:52Z,2026-05-12T22:25:52Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgyQCIepbrw9vr0IbqF4AaABAg,@paulafilip8944,http://www.youtube.com/@paulafilip8944,Asa este,0,2026-05-12T12:13:10Z,2026-05-12T12:13:10Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgySzz9Z1bAITFhcvld4AaABAg,@claudiaciornea1910,http://www.youtube.com/@claudiaciornea1910,😂😂😂😂,1,2026-05-13T03:37:51Z,2026-05-13T03:37:51Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgwOelA-dbx0FAPf-Ul4AaABAg,@dumitru1504,http://www.youtube.com/@dumitru1504,🤦,1,2026-05-12T12:03:02Z,2026-05-12T12:03:02Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,UgxgN-a_m-koXFSG8aV4AaABAg,@VodaLacusta-ix3bf,http://www.youtube.com/@VodaLacusta-ix3bf,FUGITI  SI  APARATIVA  VIATA   DE  NOILE  ATACURI  CU  SIRINGA  LETALA  !  A  EXTRATERESTRILOR  CARE  VOR  SA  NE  EXTERMINE  CA  SA  NE  OCUPE  PLANETA  !!,0,2026-05-12T16:11:37Z,2026-05-12T16:11:37Z,2026-05-13T10:50:56.977248+00:00
pfizer,vj7fntANj8k,Ugy3rN-xP7BKDbQeBpl4AaABAg,@borea-f9o,http://www.youtube.com/@borea-f9o,va credem,0,2026-05-12T17:24:01Z,2026-05-12T17:24:01Z,2026-05-13T10:50:56.977248+00:00
