video_id,title,channel_title,alert_type,alert_priority,alert_reason,alert_score,ravs_score,ravs_speed_of_engagement,ravs_regulatory_relevance,ravs_safety_implications,ravs_influencer_reach,ravs_topic_sensitivity,viral_probability,trend_score,growth_acceleration,sentiment_label,emotion_label,toxicity_label,toxicity_score,pharma_risk_score,narrative_cluster_id,dominant_topic_id,topic_keywords,cluster_volume,narrative_trend_score,view_count,like_count,comment_count,subscriber_count,tracking_timestamp
OsICcuGVtMU,MDJ苗栗卓蘭街頭隨機頭皮養護,MDJ,growth_spike,medium,Rapid growth acceleration detected,41.29280197800136,0.3402,99,74,20,35,100,0.9945,204.9336598900068,0.0,unknown,unknown,non_toxic,0.0386,0,4,4,"finasteride, video, medical, wegovy, glp, health, ozempic, weight, hair, loss",627,927.0810776370224,9451.0,32.0,0.0,0,2026-05-18 16:08:17.805041+00:00
8JAegwmDEJA,Get 2X more moisturization (vs. regular bar soap) with Johnson's Baby 💙,JOHNSON'S Baby Philippines,viral_emerging,high,High virality probability detected,33.2010139084605,0.3256,99,74,20,35,100,0.993,164.5141695423025,0.0,positive,anger,non_toxic,0.0014,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,1017.6967594895984,16180896.0,191.0,0.0,0,2026-05-18 16:08:17.805041+00:00
8JAegwmDEJA,Get 2X more moisturization (vs. regular bar soap) with Johnson's Baby 💙,JOHNSON'S Baby Philippines,growth_spike,medium,Rapid growth acceleration detected,33.2010139084605,0.3256,99,74,20,35,100,0.993,164.5141695423025,0.0,positive,anger,non_toxic,0.0014,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,1017.6967594895984,16180896.0,191.0,0.0,0,2026-05-18 16:08:17.805041+00:00
8JAegwmDEJA,Get 2X more moisturization (vs. regular bar soap) with Johnson's Baby 💙,JOHNSON'S Baby Philippines,emerging_narrative,medium,Narrative cluster accelerating rapidly,33.2010139084605,0.3256,99,74,20,35,100,0.993,164.5141695423025,0.0,positive,anger,non_toxic,0.0014,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,1017.6967594895984,16180896.0,191.0,0.0,0,2026-05-18 16:08:17.805041+00:00
W08lP5_Jrm0,Why This Vaccine Leaves 18 Scars!,Davidjustinn,growth_spike,medium,Rapid growth acceleration detected,32.82977430667358,0.3362,99,74,20,35,100,0.998,162.60337153336786,0.0,negative,anger,non_toxic,0.0485,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,966.991126060114,1302112.0,26795.0,296.0,0,2026-05-18 16:08:17.805041+00:00
W08lP5_Jrm0,Why This Vaccine Leaves 18 Scars!,Davidjustinn,emerging_narrative,medium,Narrative cluster accelerating rapidly,32.82977430667358,0.3362,99,74,20,35,100,0.998,162.60337153336786,0.0,negative,anger,non_toxic,0.0485,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,966.991126060114,1302112.0,26795.0,296.0,0,2026-05-18 16:08:17.805041+00:00
W08lP5_Jrm0,Why This Vaccine Leaves 18 Scars!,Davidjustinn,viral_emerging,high,High virality probability detected,32.82977430667358,0.3362,99,74,20,35,100,0.998,162.60337153336786,0.0,negative,anger,non_toxic,0.0485,0,2,1,"medicine, hantavirus, mrna, health, fda, pfizer, covid, vaccines, diabetes, vaccine",1076,966.991126060114,1302112.0,26795.0,296.0,0,2026-05-18 09:30:53.077934+00:00
sSjylEQdz64,🎬 Title: Jeremiah Johnson (1972) | Jeremiah Johnson and Del Part Ways,Kanmin,growth_spike,medium,Rapid growth acceleration detected,31.063258642649277,0.3249,99,74,20,35,100,0.9971,153.82004321324638,0.0,neutral,sadness,non_toxic,0.0006,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,982.406142603713,350939.0,5837.0,111.0,0,2026-05-18 16:08:17.805041+00:00
sSjylEQdz64,🎬 Title: Jeremiah Johnson (1972) | Jeremiah Johnson and Del Part Ways,Kanmin,viral_emerging,high,High virality probability detected,31.063258642649277,0.3249,99,74,20,35,100,0.9971,153.82004321324638,0.0,neutral,sadness,non_toxic,0.0006,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,982.406142603713,350939.0,5837.0,111.0,0,2026-05-18 09:30:53.077934+00:00
sSjylEQdz64,🎬 Title: Jeremiah Johnson (1972) | Jeremiah Johnson and Del Part Ways,Kanmin,emerging_narrative,medium,Narrative cluster accelerating rapidly,31.063258642649277,0.3249,99,74,20,35,100,0.9971,153.82004321324638,0.0,neutral,sadness,non_toxic,0.0006,0,0,2,"05, new, 30, 10, like, episode, ingelheim, boehringer, johnson, 00",1187,982.406142603713,350939.0,5837.0,111.0,0,2026-05-18 16:08:17.805041+00:00
